Business Name,Status,Address,City/State/Zip,Taxpayer ID,Location #,Permit Begin,Permit End
D'SIMONE OF THE PALM BEACHES,INACTIVE,719 LAZY LN,"BRYAN, TX 77802",32037645200,00002,01/01/2012,12/31/2015
DISCOUNT TOBACCO #3,INACTIVE,1673 BRIARCREST DR STE A104,"BRYAN, TX 77802",30116224699,00003,08/01/2002,10/01/2006
KAY'S ANTIQUES & COLLECTIBLES,INACTIVE,1702 S TEXAS AVE,"BRYAN, TX 77802",32009455570,00007,01/01/2016,05/01/2016
<3 CUPCAKES,INACTIVE,3606B CHOCTAW ST,"BRYAN, TX 77802",32047904886,00001,05/10/2012,07/01/2012
_ABDULRAHMAN RABIE AHMED HUSSEIN,INACTIVE,3051 PLAZA CENTRE CT,"BRYAN, TX 77802",32097689775,00001,10/01/2024,10/02/2024
"""THAT SPECIAL TOUCH""",INACTIVE,1200 GARDEN LN,"BRYAN, TX 77802",32008636667,00002,11/01/1988,12/31/1988
"""YELL"" BRAZOS YOUTH BOARD",INACTIVE,1733 BRIARCREST DR STE 202,"BRYAN, TX 77802",17421434238,00001,10/12/2005,10/12/2005
A & A AUTOMOTIVE,INACTIVE,3224 RED ROBIN LOOP,"BRYAN, TX 77802",32013947265,00001,01/01/2004,12/25/2005
A & A MEDICAL SUPPLY,INACTIVE,1822 GREENFILED #6,"BRYAN, TX 77802",32011309302,00001,07/01/2003,12/31/2003
A & A SERVICES,INACTIVE,4520 KINGSDALE,"BRYAN, TX 77802",32022670064,00004,01/01/1989,09/30/1992
A & B ASSOCIATES,INACTIVE,1213 BROOKHOLLOW DR,"BRYAN, TX 77802",32028998345,00001,06/01/1992,12/31/1993
A & B ASSOCIATES INC,INACTIVE,1710 E 29TH,"BRYAN, TX 77802",17420897591,00001,02/29/1980,03/31/1981
A & M COFFEE SERVICE,INACTIVE,1822-B BOONEVILLE RD,"BRYAN, TX 77802",32023917316,00001,04/01/1988,09/30/1988
A & M ROOFING CONTRACTORS,INACTIVE,4520 KINGSDALE DR,"BRYAN, TX 77802",17426467316,00001,10/01/1992,05/31/2018
A & N SAFETY SYSTEMS,INACTIVE,2313 AVON ST,"BRYAN, TX 77802",32001325995,00001,03/01/1999,12/31/2000
A & R CONTRACTORS,INACTIVE,2529 RHAPSODY CT,"BRYAN, TX 77802",32011280560,00002,09/01/2003,09/23/2006
A & T WIRELESS SERVICES,INACTIVE,1801 BRIARCREST DR,"BRYAN, TX 77802",15414225985,00003,10/01/1996,12/31/1997
A &M FLOWERS AND GIFTS,INACTIVE,906 DELLWOOD,"BRYAN, TX 77802",32024701487,00001,08/20/1990,09/30/1990
A B C RENTAL COMPANY,INACTIVE,1801 S TEXAS AVE,"BRYAN, TX 77802",17515598286,00007,08/25/1980,11/01/1983
A BETTER ENVIRONMENT II,INACTIVE,1406 SKRIVANEK DR,"BRYAN, TX 77802",32012110386,00001,08/20/2003,12/25/2007
A CUT OF COUNTRY,INACTIVE,4010 STILLMEADOW DR,"BRYAN, TX 77802",32017312300,00001,04/29/2005,12/31/2012
A CUT OF COUNTRY HAIR DESIGN,INACTIVE,4008 STILLMEADOW DR,"BRYAN, TX 77802",32008820246,00001,01/30/1996,10/30/1997
A D ENTERPRISES,INACTIVE,3806 KELLI LANE,"BRYAN, TX 77802",32027557191,00001,06/01/1990,12/31/1990
A FAMILY AFFAIR DBA BASKETS ON THE BRAZOS&POPABILI,INACTIVE,3737 E 29TH ST,"BRYAN, TX 77802",17427260348,00001,08/29/1995,09/01/2001
A GREEN SOLUTION,INACTIVE,4475 CARTER CREEK PKWY APT 734,"BRYAN, TX 77802",32025596720,00002,07/01/2007,03/31/2008
A GUARANTEE CARPET CLEANING,INACTIVE,2402 BROADMOOR DR STE D2-113,"BRYAN, TX 77802",32025644058,00003,04/01/1998,01/31/2000
A HEART'S AFFAIR,INACTIVE,3535 PLAINSMAN LN APT A10,"BRYAN, TX 77802",32040652185,00001,01/01/2010,03/31/2010
A HOUSE OF KNOWLEDGE,INACTIVE,4617 PEMBROOK LN,"BRYAN, TX 77802",32026727563,00001,08/01/1996,12/01/1996
A I M TECHNOLOGY CORP,INACTIVE,1200 BRIARCREST DR STE 2345,"BRYAN, TX 77802",30117097771,00001,10/04/1994,12/31/2002
A J DIMENSIONS IN VIDEO,INACTIVE,2920 KENT ST APT 206,"BRYAN, TX 77802",32032110291,00001,12/03/1993,12/31/1996
A K MARKETING,INACTIVE,3219B TEXAS AVE,"BRYAN, TX 77802",32025418651,00001,12/02/1991,12/31/1991
A L BUCHANAN II-AUCTIONEER,INACTIVE,3535 PLAINSMAN LN # 84,"BRYAN, TX 77802",32006687647,00001,07/02/1984,07/20/1999
A NETT OF LOVE,INACTIVE,4904 WINCHESTER DR,"BRYAN, TX 77802",32048296084,00001,07/01/2012,12/31/2012
A PINCH OF CRAFTY,INACTIVE,4475 CARTER CREEK PKWY APT 635,"BRYAN, TX 77802",32068846487,00001,11/06/2018,02/11/2020
A PLUS MAINTENANCE & REPAIR LLC,ACTIVE,2114 KAZMEIER PLZ,"BRYAN, TX 77802",32099922190,00001,04/25/2025,
A STITCH ABOVE,INACTIVE,1409 WOODLAND DR,"BRYAN, TX 77802",32064661856,00001,08/24/2017,06/30/2018
A TISKIT A TASKIT,INACTIVE,2909 BURNING TREE,"BRYAN, TX 77802",17423296783,00001,10/01/1987,12/31/1987
A TO Z DVD,INACTIVE,3713 VALLEY OAKS DR,"BRYAN, TX 77802",32018046576,00001,08/23/2005,04/30/2007
A TOUCH OF ELEGENCE,INACTIVE,3612 PLAINSMAN LN,"BRYAN, TX 77802",32025838528,00002,08/04/1999,12/31/1999
A TOUCH OF HOME,INACTIVE,3917 SIERRA CT,"BRYAN, TX 77802",30115463223,00001,09/01/1992,01/01/1994
A V D LONESTAR,INACTIVE,707 INWOOD DR,"BRYAN, TX 77802",32032449459,00001,08/13/1990,12/25/1999
A WILD HAIR SALON & CO,INACTIVE,4301 CARTER CREEK PKWY,"BRYAN, TX 77802",32012477140,00003,11/01/2022,
A WIPE AWAY,INACTIVE,800 EAGLE PASS ST APT C,"BRYAN, TX 77802",32039590644,00001,05/27/2009,09/10/2009
A 1 MART,INACTIVE,3900 E 29TH ST,"BRYAN, TX 77802",32069915323,00001,05/01/2020,
A+ WALK-IN-BATH TUBS,ACTIVE,2111 ELMWOOD DR,"BRYAN, TX 77802",32030798048,00002,01/28/2010,
A&B SALES & SERVICES,INACTIVE,4103 S TEXAS AVE STE 219,"BRYAN, TX 77802",32022036167,00002,11/09/2006,04/01/2007
"A&G TURF FARMS, L.L.C.",INACTIVE,4713 WESTMINSTER DR,"BRYAN, TX 77802",32020057389,00002,01/01/2012,
A&M ALTERATIONS,ACTIVE,3601 E 29TH ST STE 12,"BRYAN, TX 77802",32041266878,00001,03/01/2010,
A&M FURNITURE STORE LLC,ACTIVE,2104 S TEXAS AVE STE 200,"BRYAN, TX 77802",32063991379,00001,01/01/2018,
A-ABA COMPUTERS,INACTIVE,3905 SIERRA CT,"BRYAN, TX 77802",32021398733,00001,07/26/2000,09/30/2000
A-PLUS COMPUTER SERVICES,INACTIVE,1005 SKRIVANEK DR,"BRYAN, TX 77802",32031182812,00002,10/01/1993,05/31/1995
A-PLUS COMPUTER SERVICES INC,INACTIVE,1816 GREENFIELD PLZ,"BRYAN, TX 77802",17427544238,00003,08/01/2001,12/31/2003
A-1 APPLIANCES,INACTIVE,514 WAYSIDE,"BRYAN, TX 77802",32006470606,00001,06/01/1990,12/31/1993
A-1 HOUR PHOTO,INACTIVE,3602 E 29TH ST # B,"BRYAN, TX 77802",32024201926,00001,10/07/1994,08/31/1998
A-1 LOCK & CYCLE,INACTIVE,3811 E 29TH,"BRYAN, TX 77802",32022631793,00004,06/01/1984,12/31/1985
A-1 LOCK & CYCLE,INACTIVE,3813 E 29TH,"BRYAN, TX 77802",32022631793,00003,08/01/1983,05/31/1984
A-1 LOCK AND SAFE,INACTIVE,1301 EAST 29TH ST,"BRYAN, TX 77802",32022631793,00005,01/01/1986,03/31/1986
A/T SYSTRONICS,INACTIVE,4103 SOUTH TX AVE STE 104,"BRYAN, TX 77802",30114359281,00002,04/01/1992,08/01/1993
A/T SYSTRONICS,INACTIVE,4100 WOODCREST DRIVE,"BRYAN, TX 77802",30114359281,00001,10/25/1990,12/31/1992
A/V PRODUCTIONS COMMUNICATIONS & MARKETING INC,INACTIVE,2508 OAK CIR,"BRYAN, TX 77802",17422957609,00001,01/01/1987,12/31/2008
A'S CLEANING SERVICE,INACTIVE,3806 WINDRIDGE DR,"BRYAN, TX 77802",32029504035,00002,05/01/1992,06/30/1998
AAA COFFEE SERVICE,INACTIVE,1822-B BOONEVILLE,"BRYAN, TX 77802",32020924208,00004,10/15/1987,12/31/1988
AAA FIRE PROTECTION SYSTEMS,INACTIVE,2902 OLD OAKS DR,"BRYAN, TX 77802",32007345633,00011,01/01/1997,08/31/1998
AAA FOOD MART,INACTIVE,3900 E 29TH ST,"BRYAN, TX 77802",32062030195,00001,11/15/2016,03/31/2018
AAA MAINTENANCE SERVICES,INACTIVE,3130 E 29TH ST UNIT 1423,"BRYAN, TX 77802",32059923063,00001,03/21/2016,03/30/2016
AAA SAFE & LOCK,INACTIVE,2103 CARTER CREEK,"BRYAN, TX 77802",32004777044,00001,09/01/1986,09/30/1986
AAA SALES & SALVAGE,INACTIVE,1220 N TEXAS AVE,"BRYAN, TX 77802",32031423323,00004,10/01/1983,12/31/1987
AAA TRANSMISSIONS & AUTOMOTIVE,INACTIVE,2707 S TEXAS AVE,"BRYAN, TX 77802",17424392649,00002,01/01/1988,11/21/1989
AALIQ & S ENTERPRISES,INACTIVE,3900 E 29TH ST,"BRYAN, TX 77802",32049652566,00001,12/10/2012,12/17/2012
AARON'S SALES & LEASE OWNERSHIP #C1001,INACTIVE,2011 S TEXAS AVE,"BRYAN, TX 77802",15806876304,00274,11/01/2006,06/30/2011
AARON'S SALES & LEASE OWNERSHIP C0068,ACTIVE,3516 S TEXAS AVE,"BRYAN, TX 77802",15806876304,00320,09/01/2008,
ABBATES SHOP,INACTIVE,3604 OAK CLIFF CIR,"BRYAN, TX 77802",17414630123,00002,07/11/1969,09/08/1995
ABBEY/FOSTER,INACTIVE,2909 VILLA MARIA EAST,"BRYAN, TX 77802",30011309314,00010,10/01/1988,09/30/1989
ABBOTT CLEANING SERVICE,INACTIVE,3610 BRIGHTON DR,"BRYAN, TX 77802",32010159237,00002,07/01/2003,03/31/2015
ABBOTT WINDOW CLEANING,INACTIVE,2000 KAZMEIER PLZ APT 23,"BRYAN, TX 77802",32056882874,00001,04/01/2015,12/31/2018
