Business Name,Status,Address,City/State/Zip,Taxpayer ID,Location #,Permit Begin,Permit End
A BEDDER LIFE,INACTIVE,7065 WHITEHILL ST,"DALLAS, TX 75231",32005736296,00001,08/05/2002,12/31/2004
IMAGINENATION ENTERTAINMENT,INACTIVE,6260 MELODY LN APT 3022,"DALLAS, TX 75231",32006519204,00001,08/16/1999,12/31/2001
(SAVVY) IMAGE CONSULTANT,INACTIVE,7222 FAIR OAKS #2318,"DALLAS, TX 75231",32006616968,00001,07/24/1988,12/31/1988
$.99 STORE,INACTIVE,6885 SHADYBROOK LN,"DALLAS, TX 75231",32030450152,00003,06/01/2007,11/30/2009
_WILSON NURSERY,INACTIVE,7023 GREENVILLE AVE,"DALLAS, TX 75231",32001148207,00003,04/01/1999,11/30/1999
#A1302 - PLAZA MEDICAL CITY FT WORTH,ACTIVE,10740 N CENTRAL EXPY,"DALLAS, TX 75231",11611711794,00532,12/01/2024,
'J' AFFORDABLE PLANTS ETC,INACTIVE,7152 FAIR OAKS AVE APT 1210,"DALLAS, TX 75231",32011198564,00001,04/15/2003,12/31/2006
"""D"" BAR CAFE",INACTIVE,6521 E NORTHWEST HWY,"DALLAS, TX 75231",32034372584,00001,02/01/2008,06/22/2011
"""I REMEMBER"" ANTIQUES AND COLLECTIBLES",INACTIVE,7209 CROFTON DR,"DALLAS, TX 75231",30011223895,00003,01/01/1994,12/31/2017
"""IDA BELL'S"" PERSONALIZED CHILDREN'S BOOKS",INACTIVE,11201 LAKE HIGHLANDS NO 2013,"DALLAS, TX 75231",32031078887,00001,08/01/1994,03/31/1996
"""PNI""",INACTIVE,10300 N CENTRAL SUITE 290,"DALLAS, TX 75231",17516756420,00001,01/01/1980,12/31/1981
"""SABER"" & TWEDELL-OVARD & ASSOC",INACTIVE,7557 RAMBLER SUITE 750,"DALLAS, TX 75231",30009911675,00001,07/11/1986,10/31/1986
"""VARIETY GLASSWARE""",INACTIVE,7040 HOLLY HILL #349,"DALLAS, TX 75231",32005241156,00001,01/01/1975,06/30/1975
A + WIRELESS,ACTIVE,8347 PARK LN,"DALLAS, TX 75231",32006399680,00005,02/01/2012,
A & A ACCESSORIES ETC,INACTIVE,7218 SKILLMAN 1095,"DALLAS, TX 75231",32022905635,00001,04/23/1992,12/31/1992
A & BUFFALOS,INACTIVE,10455 N CENTRAL EXPY STE 116B,"DALLAS, TX 75231",32020455963,00001,10/20/2005,12/31/2006
A & D BUFFALO,INACTIVE,10455 N CENTRAL EXPY STE 116B,"DALLAS, TX 75231",32016447081,00001,06/01/2005,12/31/2005
A & D BUFFALO'S,INACTIVE,10455 N CENTRAL EXPY STE 116B,"DALLAS, TX 75231",32019330284,00001,03/17/2006,06/30/2006
A & D BUFFALO'S,INACTIVE,10455 N CENTRAL EXPY STE 116B,"DALLAS, TX 75231",32023128716,00002,12/04/2006,05/31/2007
A & D BUFFALO'S,INACTIVE,10455 N CENTRAL EXPY STE 116B,"DALLAS, TX 75231",32037881888,00002,11/07/2008,02/28/2012
A & D BUFFALO'S,INACTIVE,10455 N CENTRAL EXPY STE 116B,"DALLAS, TX 75231",32033037790,00001,06/01/2007,11/06/2008
A & E CREATIVE WINDOW DESIGN,INACTIVE,7407 FAIR OAKS AVE APT 220,"DALLAS, TX 75231",32010198219,00001,11/02/1995,12/31/1996
A & F ATTIC #7201,INACTIVE,9100 NO CENTRAL EXPWY #123 B,"DALLAS, TX 75231",30116481240,00092,04/01/1985,02/01/1988
A & J ENTERPRISES,INACTIVE,6171 E NORTHWEST HWY APT 1349,"DALLAS, TX 75231",32018852122,00001,04/02/2006,03/31/2007
A & J ENTERPRISES,INACTIVE,7160 SKILLMAN ST APT 1623,"DALLAS, TX 75231",32021193167,00002,08/26/1994,06/30/1996
A & J WINDOW AND CLEANING SERVICES,INACTIVE,9236 CHURCH RD APT 1082,"DALLAS, TX 75231",32007574182,00003,01/26/2006,12/25/2007
A & K LEASING,INACTIVE,6770 TWIN HILLS AVE,"DALLAS, TX 75231",17560714770,00004,01/01/1989,12/31/1997
A & L CUPCAKES,INACTIVE,7407 FAIR OAKS AVE APT 318,"DALLAS, TX 75231",32061860345,00002,04/01/2019,12/31/2023
A & L CUPCAKES,INACTIVE,7407 FAIR OAKS AVE APT 208,"DALLAS, TX 75231",32061860345,00001,09/30/2016,03/31/2019
A & L UPHOLSTERING CO,INACTIVE,6818 GREENVILLE AVE,"DALLAS, TX 75231",17513631121,00001,01/01/1971,06/30/1978
A & L UPHOLSTERY,INACTIVE,6818 GREENVILLE AVENUE,"DALLAS, TX 75231",17515934143,00001,03/15/1978,03/31/1984
A & M CABINET INSTALLATION,INACTIVE,6101 MELODY LN APT 2028,"DALLAS, TX 75231",32032503115,00001,06/07/2001,12/31/2001
A & R MARKETING,INACTIVE,6050 MELODY LANE #250,"DALLAS, TX 75231",32022865367,00001,08/13/1991,12/31/1991
A & W DESIGNS,INACTIVE,7434 GREENVILLE AVE APT 218,"DALLAS, TX 75231",32032027396,00001,10/01/1992,12/31/1994
A & W SALES,INACTIVE,6033 E NORTHWEST HWY #2083,"DALLAS, TX 75231",32031025540,00002,07/01/1978,12/31/1978
A - 1 BUILDING SERVICE INC,INACTIVE,10830 N CENTRAL EXPY STE 310,"DALLAS, TX 75231",17527135580,00002,12/01/2006,11/30/2009
A AND A TREE SERVICE,INACTIVE,6530 RIDGECREST UNIT 202,"DALLAS, TX 75231",32005854909,00004,01/01/1992,03/31/1995
A AND A TREE SERVICE,INACTIVE,6171 E NORTHWEST HWY # 2362,"DALLAS, TX 75231",32005854909,00003,05/21/1990,12/31/1991
A B ENTERPRISES,INACTIVE,6050 MELODY LN APT 104,"DALLAS, TX 75231",32006650140,00001,07/21/1994,12/31/1994
A B ICE CREAM,INACTIVE,8215 MEADOW RD APT 1048,"DALLAS, TX 75231",32010508359,00001,02/28/1992,03/31/1994
A BANNER CO,INACTIVE,9965 ROYAL LN STE 23,"DALLAS, TX 75231",32077108317,00001,01/01/2021,05/30/2024
A BANNER CO,ACTIVE,9965 ROYAL LN STE 23,"DALLAS, TX 75231",32094522185,00001,05/01/2024,
A BANNER COMPANY,INACTIVE,9965 ROYAL LN STE 23,"DALLAS, TX 75231",32017427942,00003,07/01/2010,01/31/2022
A BIT OF COUNTRY CLASS INC,INACTIVE,10300 N CENTRAL EXPY BLDG V SUITE 502,"DALLAS, TX 75231",17522246317,00001,06/01/1988,06/01/1988
A C LEGEND HORSE,INACTIVE,10455 N CENTRAL EXPY # 109-273,"DALLAS, TX 75231",32014035706,00001,01/01/2004,12/25/2005
A C MEDICAL,INACTIVE,7515 GREENVILLE AVE STE 803,"DALLAS, TX 75231",17521439764,00002,11/20/1989,12/31/1997
A CAPTIVATING IMAGE,INACTIVE,7324 SKILLMAN ST APT 101,"DALLAS, TX 75231",32017923304,00002,08/03/2005,12/25/2008
A CARING DOCTOR TEXAS P C #185,INACTIVE,6301 ABRAMS RD,"DALLAS, TX 75231",19312714108,00007,07/05/1999,12/01/2000
A COUNTRY SHOPPE,INACTIVE,6559 EAST NW HIGHWAY,"DALLAS, TX 75231",30007552018,00008,04/01/1985,06/30/1986
A CRAFTY DRAGON LLC,ACTIVE,5473 BLAIR RD STE 100,"DALLAS, TX 75231",32097250545,00001,11/01/2024,
A CUT ABOVE THE REST,INACTIVE,6402 MELODY LANE #2157,"DALLAS, TX 75231",32020907872,00001,03/01/1993,03/31/1993
A DREAM COME TRUE,INACTIVE,7210 SKILLMAN ST APT 1147,"DALLAS, TX 75231",32022937463,00002,02/01/1995,12/31/1995
A F DADEN,INACTIVE,8055 MEADOW RD APT 206,"DALLAS, TX 75231",32006054566,00001,08/01/2001,01/01/2003
A FILD OF DREAMS GIFT SHOP ECT,INACTIVE,8300 SKILLMAN ST APT 511,"DALLAS, TX 75231",32016828017,00002,02/24/2005,03/03/2005
A FILD OF DREAMS GIFT SHOP ETC,INACTIVE,8300 SKILLMAN ST APT 511,"DALLAS, TX 75231",32016828140,00001,03/03/2005,06/30/2005
A GRAVES LEGACY COMPANY LLC,INACTIVE,9600 GOLF LAKES TRL APT 1111,"DALLAS, TX 75231",32059408560,00001,01/27/2017,03/31/2017
A HEAD OF ITS TIME,INACTIVE,7402 GREENVILLE STE 308,"DALLAS, TX 75231",17518528298,00001,04/01/1983,05/24/1988
A J DESIGN,INACTIVE,7070 SKILLMAN 1004,"DALLAS, TX 75231",32026288566,00001,08/07/1992,09/01/1992
A LA MODE,INACTIVE,7522 HOLLY HILL DR APT 33,"DALLAS, TX 75231",32045144329,00001,12/01/2011,12/31/2011
A LITTLE TEXAS ENTERTAINMENT COMPANY INC,INACTIVE,9600 GOLF LAKES TRL APT 2102,"DALLAS, TX 75231",32012941442,00001,01/01/2004,12/25/2006
A LONGHAER,INACTIVE,8209 MEADOW RD APT 1094,"DALLAS, TX 75231",32022429602,00001,09/27/1996,12/31/1996
A LUNA INFANTS & CHILDREN'S CLOTHING SUPPLIES,INACTIVE,7111 FAIR OAKS #235,"DALLAS, TX 75231",30114385005,00001,03/01/1991,12/31/1992
A M V  CLEANING,INACTIVE,8620 PARK LN APT 1915,"DALLAS, TX 75231",32005535631,00002,07/01/2002,07/31/2002
